"Name"	"SystemName"	"ApplicationDeadline"	"Attributes"	"Categories"	"CategoriesClone"	"CityAddress"	"CitybreakPackageId"	"Description"	"Directions"	"Duration"	"EventUrl"	"ExpirationDate"	"ExtensionData"	"ExternalSignupLink"	"ExternalSignupText"	"ForeignProductId"	"ForeignProductIds"	"GeoNode"	"Id"	"Image"	"ImageClone"	"ImageId"	"ImageIds"	"Images"	"Introduction"	"IsHighlight"	"Latitude"	"Link1Description"	"Link1Name"	"Link1Url"	"Link2Description"	"Link2Name"	"Link2Url"	"Link3Description"	"Link3Name"	"Link3Url"	"Longitude"	"MembershipRequired"	"Occasions"	"OrganizationId"	"OrganizerName"	"Other"	"ParentProductId"	"PhoneNumber"	"PhoneNumberBooking"	"POIs"	"PostalCode"	"Price"	"ProductReference"	"ProductType"	"PublishedDate"	"Relevance"	"RevisionDate"	"SignupRequired"	"Status"	"StreetAddress1"	"SupplierId"	"TemplateId"	"TrackingPixelUrl"	"UrlName"	"Website"	"Version"
"Wayne´s Coffe"	"Wayne´s Coffe"		"Värde:Wayne´s Coffe| Värde:http://www.waynescoffee.se/| Värde:Huvudsakligen går man till Wayne’s för att dricka kaffe. Kanske med en muffin eller chocolate chip cookie till.| Värde:Är du inte en kaffedrickare finns det gott om alternativ för dig att fika på ändå. Välj på te, choklad, smoothie, frappe eller iste. Vill du ha något lite matnyttigare finns smörgåsar och wraps. | Värde:56,0472818| Värde:12,6924915| Värde:Rådhustorget 12| Värde:252 21| Värde:Helsingborg| Värde:False| Värde:info@waynescoffee.se| Värde:(0)42 - 242 260| Värde:16| Url: http://images.citybreak.com/image.aspx?ImageId=3084813 ProducedBy: Foto Wayne´s Coffe CopyrightBy: |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Mat & Dryck, Kafé"	"Mat & Dryck, Kafé"	"Helsingborg"		"Är du inte en kaffedrickare finns det gott om alternativ för dig att fika på ändå. Välj på te, choklad, smoothie, frappe eller iste. Vill du ha något lite matnyttigare finns smörgåsar och wraps. "					"{}"				"[]"	"Helsingborg"	"335598"	"Url: http://images.citybreak.com/image.aspx?ImageId=3084813 ProducedBy: Foto Wayne´s Coffe CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=3084813 ProducedBy: Foto Wayne´s Coffe CopyrightBy: Keywords:"	"3084813"	"3084813"	"Url: http://images.citybreak.com/image.aspx?ImageId=3084813 ProducedBy: Foto Wayne´s Coffe CopyrightBy: Keywords:"	"Huvudsakligen går man till Wayne’s för att dricka kaffe. Kanske med en muffin eller chocolate chip cookie till."	"False"	"56,0472818"										"12,6924915"	"False"		"532"				"(0)42 - 242 260"			"252 21"			"Product"	"2015-01-19 14:29:40"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Rådhustorget 12"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335598&l=1&t=1"	"Waynes_Coffe_335598"	"http://www.waynescoffee.se/"	"9"
"Trattoria Gentile "	"Trattoria Gentile "		"Värde:Trattoria Gentile | Värde:http://www.gentile.se/| Värde:Här på Trattoria Gentile sätter man det hemgjorda italienska mathantverket i fokus. Inredningen påminner om vardagsrummet hemma hos en god vän.| Värde:Restaurangen är liten med en genuin mysig känsla. Du sitter i salongen och kan titta på när kockarna tillagar din måltid. Pastan är egenkavlad och dagsfärskt. Trattoria Gentile finns med i White Guide för sin utsökta mat. Här får du garanterat en god middag.| Värde:56,0445735| Värde:12,6971891| Värde:Karlsgatan 1A| Värde:252 24| Värde:Helsingborg| Värde:info@gentile.se| Värde:16| Värde:False| Url: http://images.citybreak.com/image.aspx?ImageId=1285763 ProducedBy: Gustaf Lundqvist CopyrightBy: |Värde:+46| Värde:(0)42-13 34 77| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Mat & Dryck, Restaurang"	"Mat & Dryck, Restaurang"	"Helsingborg"		"Restaurangen är liten med en genuin mysig känsla. Du sitter i salongen och kan titta på när kockarna tillagar din måltid. Pastan är egenkavlad och dagsfärskt. Trattoria Gentile finns med i White Guide för sin utsökta mat. Här får du garanterat en god middag."					"{}"				"[]"	"Helsingborg"	"335614"	"Url: http://images.citybreak.com/image.aspx?ImageId=1285763 ProducedBy: Gustaf Lundqvist CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=1285763 ProducedBy: Gustaf Lundqvist CopyrightBy: Keywords:"	"1285763"	"1285763"	"Url: http://images.citybreak.com/image.aspx?ImageId=1285763 ProducedBy: Gustaf Lundqvist CopyrightBy: Keywords:"	"Här på Trattoria Gentile sätter man det hemgjorda italienska mathantverket i fokus. Inredningen påminner om vardagsrummet hemma hos en god vän."	"False"	"56,0445735"										"12,6971891"	"False"		"532"				"(0)42-13 34 77"			"252 24"			"Product"	"2014-12-21 13:38:42"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Karlsgatan 1A"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335614&l=1&t=1"	"Trattoria_Gentile__335614"	"http://www.gentile.se/"	"7"
"Ebbas fik"	"Ebbas fik"		"Värde:Ebbas fik| Värde:http://www.ebbasfik.se/| Värde:Ett kul och annorlunda fik! Allt är i 50- talsdesign.| Värde:Du kommer att bli imponerad av inredningen. Varje detalj, från galonmöbler och jukebox till minsta lilla kaffesked, är tidsenlig. Här serveras nymalet kaffe, rejäla smörgåsar, fräscha sallader, stora och välfyllda baguetter och den kända Elvisburgaren efter kungen av rock and rolls eget recept.| Värde:56,0450114| Värde:12,696397| Värde:Bruksgatan 20| Värde:252 23| Värde:Helsingborg| Värde:ebbasfik@ebbasfik.se| Värde:16| Värde:False| Url: http://images.citybreak.com/image.aspx?ImageId=1321152 ProducedBy: Annie Anderberg CopyrightBy: |Värde:+46| Värde:(0)42 - 28 14 40| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Mat & Dryck, Kafé, Restaurang"	"Mat & Dryck, Kafé, Restaurang"	"Helsingborg"		"Du kommer att bli imponerad av inredningen. Varje detalj, från galonmöbler och jukebox till minsta lilla kaffesked, är tidsenlig. Här serveras nymalet kaffe, rejäla smörgåsar, fräscha sallader, stora och välfyllda baguetter och den kända Elvisburgaren efter kungen av rock and rolls eget recept."					"{}"				"[]"	"Helsingborg"	"335615"	"Url: http://images.citybreak.com/image.aspx?ImageId=1321152 ProducedBy: Annie Anderberg CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=1321152 ProducedBy: Annie Anderberg CopyrightBy: Keywords:"	"1321152"	"1321152"	"Url: http://images.citybreak.com/image.aspx?ImageId=1321152 ProducedBy: Annie Anderberg CopyrightBy: Keywords:"	"Ett kul och annorlunda fik! Allt är i 50- talsdesign."	"False"	"56,0450114"										"12,696397"	"False"		"532"				"(0)42 - 28 14 40"			"252 23"			"Product"	"2015-01-19 09:59:05"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Bruksgatan 20"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335615&l=1&t=1"	"Ebbas_fik_335615"	"http://www.ebbasfik.se/"	"14"
"Zoégas Café & Butik"	"Zoégas Café & Butik"		"Värde:Zoégas Café & Butik| Värde:http://www.nestle-nordic.com/zoegas/om_zoegas/cafe.htm| Värde:Helsingborgs eget kaffe Zoégas har en butik och café mitt i stan. En pärla för alla kaffeälskare.| Värde:Här har kaffehjulen snurrat i skyltfönstret sedan 1931 och all inredning är orörd sedan dess. Butiksinredning i mahogny, marmorgolv, vackra mässingsdetaljer, kaffekvarnar och vackra takmålningar gör det fröjdfullt att dricka sitt kaffe här. Hela Zoégas sortiment finns förstås till försäljning att ta med hem om kaffet lät sig smakas.| Värde:56,0483049| Värde:12,6913515| Värde:Drottninggatan 30| Värde:252 21| Värde:Helsingborg| Värde:042 - 21 63 00| Värde:16| Värde:False| Url: http://images.citybreak.com/image.aspx?ImageId=1369356 ProducedBy: CopyrightBy: |Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Kafé"	"Kafé"	"Helsingborg"		"Här har kaffehjulen snurrat i skyltfönstret sedan 1931 och all inredning är orörd sedan dess. Butiksinredning i mahogny, marmorgolv, vackra mässingsdetaljer, kaffekvarnar och vackra takmålningar gör det fröjdfullt att dricka sitt kaffe här. Hela Zoégas sortiment finns förstås till försäljning att ta med hem om kaffet lät sig smakas."					"{}"				"[]"	"Helsingborg"	"335616"	"Url: http://images.citybreak.com/image.aspx?ImageId=1369356 ProducedBy: CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=1369356 ProducedBy: CopyrightBy: Keywords:"	"1369356"	"1369356"	"Url: http://images.citybreak.com/image.aspx?ImageId=1369356 ProducedBy: CopyrightBy: Keywords:"	"Helsingborgs eget kaffe Zoégas har en butik och café mitt i stan. En pärla för alla kaffeälskare."	"False"	"56,0483049"										"12,6913515"	"False"		"532"					"042 - 21 63 00"		"252 21"			"Product"	"2015-02-09 15:56:52"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Drottninggatan 30"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335616&l=1&t=1"	"Zoegas_Cafe__Butik_335616"	"http://www.nestle-nordic.com/zoegas/om_zoegas/cafe.htm"	"15"
"Étoile"	"L’Etoile"		"Värde:Étoile| Värde:Étoile betyder stjärna på franska och detta lilla café sätter kvalité i fokus.| Värde:Ett café som bryr sig. Här läggs stor fokus på bra råvaror, god service och man får en helhetsupplevelse i en fin miljö med hög trivsel. Här kan du äta lunch, beställa sallader och smörgåsar samt dricka färskpressad juice eller njuta av smoothies. | Värde:56,0514537| Värde:12,6876933| Värde:Drottninggatan 27| Värde:252 21| Värde:Helsingborg| Värde:15| Värde:False| Url: http://images.citybreak.com/image.aspx?ImageId=3068449 ProducedBy: CopyrightBy: |Värde:+46| Värde:(0)709 41 09 00| Värde:http://www.cafeetoile.se/| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Mat & Dryck, Kafé, Restaurang"	"Mat & Dryck, Kafé, Restaurang"	"Helsingborg"		"Ett café som bryr sig. Här läggs stor fokus på bra råvaror, god service och man får en helhetsupplevelse i en fin miljö med hög trivsel. Här kan du äta lunch, beställa sallader och smörgåsar samt dricka färskpressad juice eller njuta av smoothies. "					"{}"				"[]"	"Helsingborg"	"335617"	"Url: http://images.citybreak.com/image.aspx?ImageId=3068449 ProducedBy: CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=3068449 ProducedBy: CopyrightBy: Keywords:"	"3068449"	"3068449"	"Url: http://images.citybreak.com/image.aspx?ImageId=3068449 ProducedBy: CopyrightBy: Keywords:"	"Étoile betyder stjärna på franska och detta lilla café sätter kvalité i fokus."	"False"	"56,0514537"										"12,6876933"	"False"		"532"				"(0)709 41 09 00"			"252 21"			"Product"	"2015-01-12 10:25:27"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Drottninggatan 27"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335617&l=1&t=1"	"_LEtoile_335617"		"7"
"Chatêau Forêt"	"Chatêau Café Forêt"		"Värde:http://www.chforet.se| Värde:Chatêau Forêt| Värde:Att kliva in på Château Forêt är som att stiga rakt in i en väns vardagsrum. Varmt, intimt, ombonat och med filosofin att trivsel alltid går före etikett. | Värde:Här lagas mat med stor kärlek och omsorg av kvalitativa råvaror som i allra största mån är närproducerade. Ofta med inspiration av det franska och svenska köket. Lunch onsdag lördag Bistro tisdag till lördag från kl. 18.00 Något att inte missa är deras fantastiskt goda bröd som är känt i hela stan. | Värde:http://www.whiteguide.se/restaurang/chateau-foret| Värde:56,0457571| Värde:12,6984215| Värde:Södra Storgatan 19| Värde:252 23| Värde:Helsingborg| Värde:(0)42-12 90 35| Värde:info@chforet.se| Värde:16| Värde:False| Url: http://images.citybreak.com/image.aspx?ImageId=1285762 ProducedBy: Anna Persson CopyrightBy: |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Mat & Dryck, Kafé, Restaurang"	"Mat & Dryck, Kafé, Restaurang"	"Helsingborg"		"Här lagas mat med stor kärlek och omsorg av kvalitativa råvaror som i allra största mån är närproducerade. Ofta med inspiration av det franska och svenska köket. Lunch onsdag lördag Bistro tisdag till lördag från kl. 18.00 Något att inte missa är deras fantastiskt goda bröd som är känt i hela stan. "					"{}"				"[]"	"Helsingborg"	"335618"	"Url: http://images.citybreak.com/image.aspx?ImageId=1285762 ProducedBy: Anna Persson CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=1285762 ProducedBy: Anna Persson CopyrightBy: Keywords:"	"1285762"	"1285762"	"Url: http://images.citybreak.com/image.aspx?ImageId=1285762 ProducedBy: Anna Persson CopyrightBy: Keywords:"	"Att kliva in på Château Forêt är som att stiga rakt in i en väns vardagsrum. Varmt, intimt, ombonat och med filosofin att trivsel alltid går före etikett. "	"False"	"56,0457571"										"12,6984215"	"False"		"532"					"(0)42-12 90 35"		"252 23"			"Product"	"2015-05-29 13:32:04"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Södra Storgatan 19"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335618&l=1&t=1"	"Chatau_Cafe_Fort_335618"	"http://www.chforet.se"	"12"
"Ristorante Bonasera"	"Bonasera Bonasera"		"Värde:Ristorante Bonasera| Värde:http://www.bonasera.se| Värde:Bonasera serverar förstklassig italiensk mat.| Värde:Restaurangen är mysig med inredning som är designade för att du ska få en hemmakänsla där du bjuder in familj och vänner till en god middag. Atmosfären är trendig men samtidigt avslappnad. | Värde:56,0545417922973| Värde:12,6853427999999| Värde:Drottningatan 124| Värde:252 22| Värde:Helsingborg| Värde:info@bonasera.se| Värde:15| Värde:False| Url: http://images.citybreak.com/image.aspx?ImageId=1322213 ProducedBy: Sofia Sandén CopyrightBy: |Värde:+46| Värde:(0)42-14 78 27| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Mat & Dryck, Restaurang"	"Mat & Dryck, Restaurang"	"Helsingborg"		"Restaurangen är mysig med inredning som är designade för att du ska få en hemmakänsla där du bjuder in familj och vänner till en god middag. Atmosfären är trendig men samtidigt avslappnad. "					"{}"				"[]"	"Helsingborg"	"335620"	"Url: http://images.citybreak.com/image.aspx?ImageId=1322213 ProducedBy: Sofia Sandén CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=1322213 ProducedBy: Sofia Sandén CopyrightBy: Keywords:"	"1322213"	"1322213"	"Url: http://images.citybreak.com/image.aspx?ImageId=1322213 ProducedBy: Sofia Sandén CopyrightBy: Keywords:"	"Bonasera serverar förstklassig italiensk mat."	"False"	"56,0545417922973"										"12,6853427999999"	"False"		"532"				"(0)42-14 78 27"			"252 22"			"Product"	"2015-06-03 12:53:06"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Drottningatan 124"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335620&l=1&t=1"	"Bonasera_Bonasera_335620"	"http://www.bonasera.se"	"9"
"Gastro"	"Gastro"		"Värde:Gastro| Värde:http://www.gastro.nu| Värde:Gastro är Helsingborgs mest kända restaurang som lovar att utmana ditt smaksinne. White Guide tilldelade 2010 Gastro åttonde platsen bland Sveriges bästa restauranger.| Värde:Vill du fresta smaklökarna på en exklusiv smakupplevelse och samtidigt få in mat som är en fröjd för ögat så kan du här få en oförglömlig kväll. Maten är gjord på bästa råvaror, mycket lokalproducerat, och du får vinförslag som förstärker matupplevelsen till varje rätt. | Värde:56,0457045600702| Värde:12,6938336889549| Värde:Järnvägsgatan 3| Värde:252 23| Värde:Helsingborg| Värde:(0)42-24 34 70| Värde:info@gastro.nu| Värde:15| Värde:False| Url: http://images.citybreak.com/image.aspx?ImageId=2549331 ProducedBy: CopyrightBy: |Url: http://images.citybreak.com/image.aspx?ImageId=2936893 ProducedBy: CopyrightBy: |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False|..."	"Mat & Dryck, Julbord, Restaurang, Gourmet"	"Mat & Dryck, Julbord, Restaurang, Gourmet"	"Helsingborg"		"Vill du fresta smaklökarna på en exklusiv smakupplevelse och samtidigt få in mat som är en fröjd för ögat så kan du här få en oförglömlig kväll. Maten är gjord på bästa råvaror, mycket lokalproducerat, och du får vinförslag som förstärker matupplevelsen till varje rätt. "					"{}"				"[]"	"Helsingborg"	"335621"	"Url: http://images.citybreak.com/image.aspx?ImageId=2549331 ProducedBy: CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=2549331 ProducedBy: CopyrightBy: Keywords:"	"2549331"	"2549331,2936893"	"Url: http://images.citybreak.com/image.aspx?ImageId=2549331 ProducedBy: CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2936893 ProducedBy: CopyrightBy: Keywords:"	"Gastro är Helsingborgs mest kända restaurang som lovar att utmana ditt smaksinne. White Guide tilldelade 2010 Gastro åttonde platsen bland Sveriges bästa restauranger."	"False"	"56,0457045600702"										"12,6938336889549"	"False"		"532"					"(0)42-24 34 70"		"252 23"			"Product"	"2015-06-01 14:56:58"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Järnvägsgatan 3"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335621&l=1&t=1"	"Gastro_335621"	"http://www.gastro.nu"	"16"
"Koppi Kaffe & Rosteri"	"Koppi Kaffe & Rosteri"		"Värde:Koppi Kaffe & Rosteri| Värde:http://koppi.se| Värde:Koppi bjuder på egenrostad väldoftande kaffe i charmig miljö och finns med i White Guides guidebok över caféer. | Värde:Ägarna är med i baristalandslaget och har genom åren korats till både svenska och nordiska baristamästare. De åker själva till kaffeplantagen för att välja ut det bästa kaffet och anpassar rostningen till varje sort av böna som de gör en beställning på. Får du mersmak för kaffet du dricker här finns bönorna till försäljning att ta med hem. Eget rosteri, engagerad personal och hemgjorda bakverk - Koppi i Helsingborg fick priset Årets Kaffebar i samband med att White Guide lanserade sin nya guidebok för caféer. ""För att delvis ha startat, och i synnerhet inspirerat och utvecklat, den pågående trenden kring ursprungsbetecknat kvalitetskaffe med eget rosteri. Dessutom ett café som lockar med en levande urban miljö, engagerad personal och hemgjorda bakverk"" lyder motiveringen från White Guide Café. – Nästan alla..."	"Mat & Dryck, Kafé"	"Mat & Dryck, Kafé"	"Helsingborg"		"Ägarna är med i baristalandslaget och har genom åren korats till både svenska och nordiska baristamästare. De åker själva till kaffeplantagen för att välja ut det bästa kaffet och anpassar rostningen till varje sort av böna som de gör en beställning på. Får du mersmak för kaffet du dricker här finns bönorna till försäljning att ta med hem. Eget rosteri, engagerad personal och hemgjorda bakverk - Koppi i Helsingborg fick priset Årets Kaffebar i samband med att White Guide lanserade sin nya guidebok för caféer. ""För att delvis ha startat, och i synnerhet inspirerat och utvecklat, den pågående trenden kring ursprungsbetecknat kvalitetskaffe med eget rosteri. Dessutom ett café som lockar med en levande urban miljö, engagerad personal och hemgjorda bakverk"" lyder motiveringen från White Guide Café. – Nästan alla har råd att ta en fika då och då vilket gör det till vår billigaste väg till en smakupplevelse. Eftersom cafébranschen är snabbrörlig och caféerna har så olika inriktning behövs ..."					"{}"				"[]"	"Helsingborg"	"335622"	"Url: http://images.citybreak.com/image.aspx?ImageId=1321141 ProducedBy: colourbox.com CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=1321141 ProducedBy: colourbox.com CopyrightBy: Keywords:"	"1321141"	"1321141"	"Url: http://images.citybreak.com/image.aspx?ImageId=1321141 ProducedBy: colourbox.com CopyrightBy: Keywords:"	"Koppi bjuder på egenrostad väldoftande kaffe i charmig miljö och finns med i White Guides guidebok över caféer. "	"False"	"56,0483757"										"12,6939154"	"False"		"532"				"(0)42-13 30 33"			"252 20"			"Product"	"2015-05-29 13:15:53"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Norra Storgatan 16"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335622&l=1&t=1"	"Koppi_Kaffe__Rosteri_335622"	"http://koppi.se"	"14"
"Espresso house"	"Espresso house"		"Värde:Espresso house| Värde:http://www.espressohouse.se/sv.aspx| Värde:Espresso house har konceptet att finnas där det finns mycket människor i rörelse. De serverar gott kaffe och läckra muffins. Du kan också beställa smörgås och sallad här.| Värde:I Helsingborg finns Espresso House på fyra olika platser i centrum; på kajpromenaden i Norra hamnen, på shoppingstråket Kullagatan, i Gamla stan på Bruksgatan och på Knutpunkten där tågen, bussarna och färjorna utgår. Det finns ytterligare en Espresso House ute på Väla shoppingcentrum.| Värde:252 20| Värde:Helsingborg| Värde:False| Värde:56,0449101| Värde:12,6966749| Url: http://images.citybreak.com/image.aspx?ImageId=1294365 ProducedBy: Espresso house CopyrightBy: |Värde:Kajpromenaden 16, Kullagatan 5, Knutpunkten, Bruksgatan 15| Värde:14| Värde:+46| Värde:(0)8-463 79 10| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False"	"Mat & Dryck, Kafé"	"Mat & Dryck, Kafé"	"Helsingborg"		"I Helsingborg finns Espresso House på fyra olika platser i centrum; på kajpromenaden i Norra hamnen, på shoppingstråket Kullagatan, i Gamla stan på Bruksgatan och på Knutpunkten där tågen, bussarna och färjorna utgår. Det finns ytterligare en Espresso House ute på Väla shoppingcentrum."					"{}"				"[]"	"Helsingborg"	"335623"	"Url: http://images.citybreak.com/image.aspx?ImageId=1294365 ProducedBy: Espresso house CopyrightBy: Keywords:"	"Url: http://images.citybreak.com/image.aspx?ImageId=1294365 ProducedBy: Espresso house CopyrightBy: Keywords:"	"1294365"	"1294365"	"Url: http://images.citybreak.com/image.aspx?ImageId=1294365 ProducedBy: Espresso house CopyrightBy: Keywords:"	"Espresso house har konceptet att finnas där det finns mycket människor i rörelse. De serverar gott kaffe och läckra muffins. Du kan också beställa smörgås och sallad här."	"False"	"56,0449101"										"12,6966749"	"False"		"532"				"(0)8-463 79 10"			"252 20"			"Product"	"2014-12-15 14:53:02"	"Regional"	"2012-12-01 00:00:00"	"False"	"Active"	"Kajpromenaden 16, Kullagatan 5, Knutpunkten, Bruksgatan 15"	"15772"	"77"	"http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=335623&l=1&t=1"	"Espresso_house_335623"	"http://www.espressohouse.se/sv.aspx"	"8"
